Title;year;Kind;Genre;rating;vote;Country;Language;Cast;Director;composer;Writer;runtime;
Unforgivable Blackness: The Rise And Fall Of Jack Johnson;2004;Movie;Documentary, Biography, Sport;8.3;1489;United States;English;Jack Johnson, Keith David, Samuel L. Jackson, Adam Arkin, Philip Bosco, Kevin Conway, Brian Cox, John Cullum, Murphy Guyer, Ed Harris, Derek Jacobi, Carl Lumbly, Amy Madigan, Carolyn Mccormick, Joe Morton, Alan Rickman, Studs Terkel, Jack Thompson, Billy Bob Thornton, Courtney B. Vance, Eli Wallach, Jeffrey Wright, Muhammad Ali, Tommy Burns, Lucille Cameron, James J. Corbett, Stanley Crouch, Gerald Early, W.C. Heinz, James J. Jeffries, James Earl Jones, Stanley Ketchel, Joe Louis, Jack Newfield, George Plimpton, Adam Clayton Powell Jr., Randy Roberts, Bert Randolph Sugar, John L. Sullivan, Jess Willard;Ken Burns;Wynton Marsalis;Geoffrey C. Ward;214;
Unlikely Angel;1996;Tv Movie;Comedy, Fantasy;6.5;990;United States;English;Dolly Parton, Roddy Mcdowall, Brian Kerwin, Allison Mack, Eli Marienthal, Shelly Lenna Bauerly, Ricki Dale, Maria Del Mar, Matt Lincoln, James Lurie, Frances Peach, Gary Sandy, Terrie Snell, Jana Stave, Billy Sly Williams, Ron Wolf;Michael Switzer;Velton Ray Bunch;Catherine Ann Jones, Liz Coe, Robert L. Freedman;95;
Unnatural Causes;1993;Tv Movie;Crime, Drama, Mystery;6.6;262;United Kingdom;English;Roy Marsden, Simon Chandler, Kenneth Colley, Mel Martin, Bill Nighy, James Cossins, Nicholas Jones, Anne Lambton, Marjie Lawrence, Roger Alborough, Arthur Blake, Lucy Briers, David Conville, Erin Geraghty, Oliver Haden, Edward Peel, Rosemary Williams, Jerome Willis;John Davies;Richard Harvey;Peter Buckman, P.D. James;103;
Unprecedented: The 2000 Presidential Election;2002;Movie;Documentary;7.7;633;United States;English;Peter Coyote, James Baker Iii, Ed Baker, Corrine Brown, Vincent Bugliosi, George W. Bush, Jeb Bush, Warren Christopher, Alan Dershowitz, Cathy Dublin, Danny Glover, Katherine Harris, Mark Herron, Sean Holton, Thomas Johnson, Dan Keating, Frank Keating, John Lantigua, Charles Lichtman, Kweisi Mfume, John Nichols, Greg Palast, Frances Fox Piven, Jamie Raskin, Clayton Roberts, Chris Sautter, Antonin Scalia, Mark Seibel, Howard Simon, Jake Tapper, Clarence Thomas, Willie Whiting;Richard Ray Perez, Joan Sekler;Bobby Johnston;William Haugse, Richard Ray Perez, Joan Sekler;50;
Unsealed: Alien Files;2012;Tv Series;Documentary, History, Sci-Fi;6.5;797;United States;English;John B. Wells, John Greenewald Jr., Nick Pope, Bill Birnes, Steve Murillo, Tom Durant, Steve Bassett, Roger Leir, Lee Speigel, Michael Salla, A.J. Gevaerd, Rob Simone, John Callahan, Jason Martell, Mark Rowtly, Mike Shaw, Linda Moulton Howe, Frank Kaufman, Frankie Rowe, Mark Holmberg;Unknown;Unknown;Colet Abedi, Benjamin Tucker, Hugh Hardy;30;
Unseen Evil 2;2004;Video Movie;Horror, Sci-Fi;2.5;670;United States;English;Lorenzo Lamas, Priscilla Barnes, Corbin Timbrook, Scott Schwartz, Megan Molloy, Christopher Irwin, David Kalamus, Shilo May, Phoebe Dollar, Matt Emery, John Fava, Vic Robey, Steven Worley, Garrett Clancy, Elizabeth Hayden Smith, Jesse Janzen, Matt Nespoli, Bradden Tenney, Josh Bartolotta, Pamela Kawada, Nicol Reece, Mitch Toles, Shikha Malhotra;Jeff Leroy;Collin Simon;Garrett Clancy, Scott Spears;81;
Unsolved Mysteries;2020;Tv Series;Documentary, Crime, Mystery;7.3;8438;United States;English;Pistol Black, Myrtle Carter, Jane Green, Teruo Konno, Anne-Sophie Martin, Mary Murphy, Brandi Petersen, Maria Ramirez, Allison Rivera, Lars Christian Wegner, Kansho Aizawa, John Arcudi, Cindy Brooks, Estelle Chapon, Rosa Glover, Nancy Hunt, Audun Kristiansen, Michael Lawson, Robin Shoemake, Tom Warner, Jean-Marc Bloch, Rob Endres, Taio Kaneta, Cedric Lagast, Demetria Leslie, Rick Letchworth, Ken Lindahl, Thom Reed, Angel F. Rivera Ii, Michelle Romain, David Siler, Steve Volk, Bruno De Stabenrath, Josh Delmain, Dale Fortney, Hubert Jonet, Kyleen Kramer, Valdree Manley, Bayard Marin, Edward Ramirez, Nancy Reed, Maria Rivera, Kellie Romain, Kazuya Sasaki, Felicia Brooks, Allison Dansby, Melanie Kirchdorfer, John Matouk, Albert Mccullough, Ann Mcdonald;Unknown;Unknown;Unknown;45;
Untitled Murder Mystery;2022;Movie;History, Mystery, Thriller;;;United States;English;Adrien Brody, Saoirse Ronan, Sam Rockwell, Ruth Wilson, Shirley Henderson, David Oyelowo, Harris Dickinson, Sian Clifford, Angus Wright, Jacob Fortune-Lloyd, Reece Shearsmith, Tim Key, Pippa Bennett-Warner, Lucian Msamati, Pearl Chanda, Charlie Cooper, Ania Marson, Paul Chahidi, Laura Morgan, Dan Robins, Emilia Karlsson, Eileen Nicholas, Philip Desmeules, Richa Prakash, Toni Beard, Yassine Anaddam, Vickrem Gill, Mat Ricardo, Holly-Jean Williamson, Sarah Lockett;Tom George;Unknown;Mark Chappell;;
Untitled Netflix/My Little Pony Series;;Tv Series;Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical, Sci-Fi;;;United States, Ireland, Canada;English;;Unknown;Unknown;Unknown;;
Untogether;2018;Movie;Drama;5.1;1470;United States;English;Jamie Dornan, Lola Kirke, Jemima Kirke, Ben Mendelsohn, Billy Crystal, Jennifer Grey, Scott Caan, Alice Eve, Joel Virgel, Kathryn Zenna, Lindsey Garrett, Elena Ghenoiu, Adina Galupa, Sean Edwards, Prakash Amritraj, Victoria Summer, Ralph Cole Jr., Porscha Parker, Max Decker, Chloe Catherine Kim, Andrea Remanda, Rachel Majestic, Sharon Munfus, Terri Hughes, Dov Rosenblatt, Ami Kozak, Duvid B. Swirsky, Zack Lodmer, Julie Mccullough, Daniel Passman, Adam Iscove, Michael Cooper, Johnny Leiba Jr., Jennifer Anderson, Soufiane El Khalidy, Shante James, Mark Mammone, Dana Schick, Matt Valvardi;Emma Forrest;Robin Foster;Emma Forrest;98;
Upright Citizens Brigade;1998;Tv Series;Comedy;8.0;2306;United States;English;Matt Besser, Amy Poehler, Ian Roberts, Matt Walsh, Del Close, H. Jon Benjamin, Michael Delaney, Rob Corddry, Paul Scheer, Rob Riggle, Billy Merritt, Alfredo De Quesada, Terry Jinn, Horatio Sanz, Eugene Cordero, Rob Huebel, Katie Roberts, John Ross Bowie, Patrick Mccartney, Andrew Secunda, Betsy Stover, Marc Bonnée, Randy Blair, Sean Conroy, Gideon Evans, Dave Blumenfeld, Chad Carter, Missy Oreilly, Miriam Tolan, Pat Walsh, Lora Lee Ecobelli, Sarah Thyre, Leo Allen, James Eason, Jon Glaser, Brian Huskey, Kevin Kenny, Doug Sakmann, Adam S. Barta, Owen Burke, Sean Christopher Lewis, John O. Nelson, Caroline Ohare, Lonny Ross, John Breen, Julie Brister, Jackie Clarke, Greg Korin, Rob Lathan, Aaron Bergeron;Unknown;Unknown;Matt Besser, Matt Besser, Amy Poehler;30;
Uprising;2001;Tv Movie;Drama, War;7.2;4746;United States;English;Leelee Sobieski, Hank Azaria, David Schwimmer, Jon Voight, Donald Sutherland, Stephen Moyer, Sadie Frost, Radha Mitchell, Mili Avital, Eric Lively, Alexandra Holden, John Ales, Andy Nyman, Nora Brickman, Jesper Christensen, Cary Elwes, Palle Granditsky, Luke Mably, Nadiv Molcho, Zuzana Barutova, Marian Amsler, Peter Rasez, Ben Crystal, Andrej Hryc, Brigitte Antonius, Itschak Fintzi, Gerd Böckmann, Brigitte Karner, Daniel Hill, Silvana Veit, Iddo Goldberg, Dietrich Hollinderbäumer, Ján Koleník, Miguel Herz-Kestranek, Konstanze Breitebner, Martin Mnahoncák, Juraj Rasla, Zoltán Gera, Tomas Mastalir, Alexander Strobele, Marcel Ochranek, Ella Jones, Michael Mehlmann, Marko Igonda, Andreas Patton, Martin Brambach, Joszef Csaljik, Monika Hilmerová, Eva Mária Chalupová, Wenanty Nosul, Michael Aichhorn, Sarabeth Tucek, Vlado Durdík, Liam Mckenna, Shane Connaughton, Rainer Frieb, Jan Fellmayer, Anton Lesser, Andreas Lust, Katharina Conwell, Benjamin Ziak, Nadja Krawetz, Tanja Krawetz, Martin Hronsky, Götz Spielmann, Veronica De Laurentiis, Marek Vasut, Georg Friedrich, Péter Dudás, Peter Faerber, Jamie Schock, Peter Vagac, Tom Sotak, Ralph Turnheim, Hannes Gastinger, Jaroslav Mendel, Matej Landl, Vladimir Oktavec, Florentin Groll, Hanah Cunderlikova, Christoph Künzler, Pavel Landovský, Tom Keller, Claus Homschak, Nicholas Ofczarek, Milan Majer, Filip Cervinka, Etl Szyc;Jon Avnet;Maurice Jarre;Paul Brickman, Jon Avnet;177;
Upstairs, Downstairs;1971;Tv Series;Drama;8.4;2895;United Kingdom;English;Gordon Jackson, David Langton, Jean Marsh, Angela Baddeley, Christopher Beeny, Jenny Tomasin, Simon Williams, Jacqueline Tong, Lesley-Anne Down, Meg Wynn Owen, Rachel Gurney, Joan Benham, Raymond Huntley, Nicola Pagett, Pauline Collins, Patsy Smart, Hannah Gordon, Gareth Hunt, John Alderton, Ian Ogilvy, Karen Dotrice, George Innes, Evin Crowley, John Quayle, Brian Osborne, Celia Bannerman, Anne Yarker, Donald Burton, Maggie Wells, Helen Lindsay, Jenifer Armitage, Anthony Andrews, Madeleine Cannon, Anthony Ainley, Mel Churcher, Anthony Woodruff, Jonathan Seely, Brian Nolan, Cathleen Nesbitt, Keith Barron, Richard Vernon, Joyce Heron, Ursula Howells, Susan Porrett, Dorothy Frere, Jane Carr, Valerie White, Shirley Cain, Leonard Trolley, Barrie Cookson;Unknown;Unknown;Alfred Shaughnessy, Jeremy Paul, John Hawkesworth;60;
Urban Ghost Story;1998;Movie;Drama, Horror, Thriller;5.4;633;United Kingdom;English;Jason Connery, Stephanie Buttle, Heather Ann Foster, Nicola Stapleton, James Cosmo, Elizabeth Berrington, Siri Neal, Andreas Wisniewski, Billy Boyd, Kenneth Bryans, Carolyn Bonnyman, Alan Owen, Stephen Howard, Julie Austin, Nicola Greene, Rachel Colles, Nick Von Schlippe, David Haddow, David Walker, Richard Syms, Andy Mcewan, Ken Whitfield, Eric Maclennan, Catherine Neal, Chris Howell, William Maud, Jack El-Eini, Adam Schofield, Keiren Mahon, Nicholas Deschamps, Tom Hillenbrand, Michael Gravistock, Simon Parr, Ashley Cameron, Aaron White, Joss Castell-Gydesen, Linda Mcguire, Philip Rosch;Geneviève Jolliffe;Rupert Gregson-Williams;Geneviève Jolliffe, Chris Jones;82;
Urban Legends: Bloody Mary;2005;Video Movie;Horror, Thriller;4.2;8251;United States;English;Kate Mara, Robert Vito, Tina Lifford, Ed Marinaro, Michael Coe, Lillith Fields, Nancy Everhard, Audra Lea Keener, Don Shanks, Jeff Olson, Nate Herd, Brandon Sacks, Hailey Evans, Olesya Rulin, Haley Mccormick, Charlene Baptista, Daniel B. Culmer, Cameron Jones, Matt Mascaro, Lisa K. Lambert, Michael Todd Behrens, Rooney Mara, Hailey Cunningham, Ann Poll, Mark Dewolfe, Brandy Vega, Jim Jepson, Grant Lee Peterson;Mary Lambert;Scooter Pietsch, Jeff Rona;Michael Dougherty, Dan Harris;93;
V;1983;Tv Mini Series;Action, Adventure, Sci-Fi;7.9;14521;United States;English;Jane Badler, Michael Durrell, Faye Grant, Peter Nelson, David Packer, Neva Patterson, Tommy Petersen, Marc Singer, Blair Tefkin, Michael Wright, Bonnie Bartlett, Leonardo Cimino, Richard Herd, Evan C. Kim, Richard Lawson, George Morfogen, Andrew Prine, Hansford Rowe, Jenny Sullivan, Penelope Windust, Michael Alldredge, Camila Ashland, Frank Ashmore, Jason Bernard, Michael Bond, Rafael Campos, Diane Cary, Viveka Davis, Robert Englund, Ron Hajak, Mary Alan Hokanson, David Hooks, Joanna Kerns, Jenny Neumann, William Russ, Michael Swan, Stephanie Faulkner, Tom Fuccello, Wiley Harker, Dick Harwood, Myron Healey, Bonnie Johns, Eric Johnston, Curt Lowens, Marin May, Mike Monahan, Jennifer Perito, Clete Roberts, Nathan Roberts, Howard K. Smith;Unknown;Unknown;Kenneth Johnson;197;
V: The Final Battle;1984;Tv Mini Series;Action, Adventure, Sci-Fi;7.7;8095;United States;English;Jane Badler, Michael Durrell, Robert Englund, Faye Grant, Richard Herd, Thomas Hill, Michael Ironside, Peter Nelson, David Packer, Neva Patterson, Andrew Prine, Sandy Simpson, Marc Singer, Blair Tefkin, Michael Wright, Denise Galik, Jason Bernard, Rafael Campos, Frank Ashmore, Diane Cary, Viveka Davis, Marin May, Greta Blackburn, Eric Johnston, Stack Pierce, Sarah Douglas, Hansford Rowe, Mickey Jones, Camila Ashland, Dick Miller, Don Starr, Jenny Beck, Jenny Ohara, Jenny Sullivan, Mark L. Taylor, Brandy Gold, Clete Roberts, Jenny Neumann, Bob Harks, Shawn Coulter, Robert Buckingham, Boyd Cabeen, Peter Paul Eastman, Kathryn Janssen, George Morfogen, Tony Regan, Hank Robinson, Walter Spear, Rick Williamson;Unknown;Unknown;Craig Buck, Craig Buck, Diane Frolov;272;
Vampire Journals;1997;Video Movie;Fantasy, Horror;5.5;1550;Romania, United States;English;Jonathon Morris, David Gunn, Kirsten Cerre, Starr Andreeff, Ilinca Goia, Constantin Barbulescu, Mihai Dinvale, Dan Condurache, Mihai Niculescu, Petre Moraru, Rodica Lupu, Floriela Grappini, Diana Lupan, Maria Dimitrache-Caraman, Elvira Deatcu, Liliana Popovici, Alice Balaianu, Crina Matei, Cristina Oancea, Lucia Burcovischi, Oana Florea, Cosmin Sofron, Alexandru Itcus, Florin Irimia, Constantin Draganescu, Florinel Piersic, Cristian Motiu, Bogdan Voda, Liviu Craciun, Mihaela Mihai, Antonella Zaharia, Freddy Onofrei, Gabi Andronache, Tatiana Sorbala, Mihaela Bilisica, Anca Marcu, Luminita Pusca, Michael Denish, Gelu Nitu;Ted Nicolaou;Richard Kosinski;Ted Nicolaou;82;
Vampirella;1996;Video Movie;Action, Fantasy, Horror, Sci-Fi;3.5;1527;United States;English;Talisa Soto, Roger Daltrey, Richard Joseph Paul, Brian Bloom, Corinna Jones, Rusty Meyers, Lee De Broux, Tom Deters, Jack Zavorak, Lenny Juliano, Anne Howard, Angus Scrimm, Tyde Kierney, David B. Katz, Robert Clotworthy, John Landis, John Terlesky, Toru Nagai, Jay Kessler, Jeff Jay, Eric Randell, Peggy Trentini, Antonia Dorian, Bret Davidson, Patrick J. Statham, Scott Stevensen, John Oshima, Anthony Hansen, Thomas Case, Michael Harris, Hilary Halbert, Forrest J. Ackerman, Gary Gerani, Jeremy Settles, Jay So, Peter Spellos, Jim Wynorski;Jim Wynorski;Joel Goldsmith;Forrest J. Ackerman, Gary Gerani, Frank Frazetta;82;
Vampyres;1974;Movie;Horror;6.1;3503;United Kingdom, Spain;English;Marianne Morris, Anulka Dziubinska, Murray Brown, Brian Deacon, Sally Faulkner, Michael Byrne, Karl Lanchbury, Margaret Heald, Douglas Jones, Gerald Case, Bessie Love, Elliott Sullivan;José Ramón Larraz;James Kenelm Clarke;Diana Daubeney, José Ramón Larraz, Thomas Owen;87;
Van Halen Live Without A Net;1986;Video Movie;Music;8.0;192;United States;English;Michael Anthony, Sammy Hagar, Alex Van Halen, Edward Van Halen;Daniel Kleinman;Michael Anthony, Sammy Hagar, Alex Van Halen, Edward Van Halen;Unknown;90;
Van Halen Live: Right Here, Right Now;1993;Video Movie;Unknown;7.3;139;United States;English;Michael Anthony, Sammy Hagar, Alex Van Halen, Edward Van Halen;Mitchell Sinoway;Unknown;Unknown;120;
Van Halen: Video Hits Vol. 1;1996;Video Movie;Music;7.5;126;United States;English;Michael Anthony, Sammy Hagar, David Lee Roth, Alex Van Halen, Edward Van Halen, Phil Hartman, Beckie Mullen;Pete Angelus, Meiert Avis, Carolyn Beug;Unknown;Unknown;65;
Van Helsing: The London Assignment;2004;Video Movie;Animation, Short, Action, Adventure, Fantasy, Horror, Mystery;6.1;3064;United States;English;Hugh Jackman, Robbie Coltrane, David Wenham, Grey Griffin, Dwight Schultz, John Dimaggio, Scott Mosenson, Alun Armstrong, Roger Jackson, Julia Fletcher, Tress Macneille, Tara Strong, James Arnold Taylor;Sharon Bridgeman;John Van Tongeren;Garfield Reeves-Stevens, Judith Reeves-Stevens;30;
Van Wilder;2002;Movie;Comedy, Romance;6.4;106385;Germany, United States;English;Ryan Reynolds, Tara Reid, Tim Matheson, Kal Penn, Teck Holmes, Daniel Cosgrove, Deon Richmond, Alex Burns, Emily Rutherfurd, Paul Gleason, Erik Estrada, Curtis Armstrong, Jason Winer, Chris Owen, Simon Helberg, Aaron Paul, Ivana Firestone, Kim Smith, Teresa Hill, Megan Gallagher, Jason Hopkins, Lydia Hull, Mark Chaet, Michael Waltman, Cynthia Fancher, Michael Olowokandi, Darius Miles, Quentin Richardson, Lamar Odom, Nick Puga, Joshua Swanson, Jesse Capelli, Ronald Hunter, Jeremy Phillips, Darcy Shean, Harry Danner, Tom Howard, John Colton, Sophia Bush, J. Patrick Mccormack, Gregg Daniel, Lauren Birkell, Teesha Lobo, Cheryl Bricker, Christopher Sowers, Colin Campbell, Willie Latimore, Sean Marquette, Sterling Rice, Albert Owens, Anderson Goncalves, Anne Varnishung, Erik Aude, Sarah Fairfax, Travis Mckenna, Lou Beatty Jr., Andrew Bilgore, Alexia Chiaromonte, Brent Goldberg, David Wagner, Chad Evans, Brandon Kessel, Ryan Carlberg, Matt Newton, Edie Mcclurg, Joyce Brothers, Shaina Fewell, Megan Litwin, Sarah Paul, Michelle Thomas, Sirin Suprasert, Mark Alfa, Megan Baker, Dan Beck, Walt Becker, Victoria Blackburn, Sean Brennan, Chad Brokaw, Scott Cappelli, Ryan Allen Carrillo, Heather Charles, Tom Everett Scott, Soren Fulton, Reid Godshaw, Marc S. Gordon, Sean Gordon, Christopher D. Grace, Kelly Hayes, Mark Heenehan, Jesse Heiman, Fancy Macelli, Christie Mcnew, Summer Moore, Bonnie Morgan, Justin Neill, Alex Nesic, Daniel Oestreich, Louis E. Rosas, Steffen Schlachtenhaufen, Jennifer Schlueter, John Simmit, Skyler Stone, Charlie Talbert, Billy Taylor, Nathan Todaro, Cassie Townsend, Greta Valenti, Dave Vandermeuse, Josh Waters, Nik Wilcox;Walt Becker;David Lawrence;Brent Goldberg, David Wagner;92;
Varietease;1954;Movie;Documentary, Comedy, Music;5.6;127;United States;English;Lili St. Cyr, Cass Franklin, Monica Lane, Bettie Page, Bobby Shields, Baros & Rogers, Christine Nelson, Shelley Leigh, Vicki Lynn, Peppe & Roccio, Irving Klaw, Chris Lachris, Dave Starr, Twinnie Wallen;Irving Klaw;Ben Blossner, Irma Hollander, Metis;Unknown;71;
Vatel;2000;Movie;Biography, Drama, Romance;6.6;7664;France, United Kingdom, Belgium;English;Gérard Depardieu, Uma Thurman, Tim Roth, Julian Glover, Julian Sands, Timothy Spall, Murray Lachlan Young, Hywel Bennett, Richard Griffiths, Arielle Dombasle, Marine Delterme, Philippine Leroy-Beaulieu, Jérôme Pradon, Féodor Atkine, Nathalie Cerda, Emilie Ohana, Sébastien Davis, Natacha Koutchoumov, Nick Robinson, Patrick Saverioni, Julie-Anne Roth, Alain Stern, James Thierrée, Geoffrey Bateman, Nicholas Hawtrey, Paul Bandey, David Gabison, Louise Vincent, André Chaumeau, Jay Benedict, Dominique Frot, Leslie Clack, David Houri, Christophe Prévost, Ronald Forfar, Albert Goldberg, Vincent Grass, Patty Hannock, Fiona Curzon, Adrien Pochina, Jérôme Duranteau, Patrick Albenque, Vincent Nemeth, Edwin Apps, Helen Later, Rémy Roubakha, Kevin Greenlaw, Joachim Serreau, Pia Lagrange, Lionel Vitrant, Alexandre Chaussat, Louis Bustin, James Ney, William Hough, Jesse Gage, Myriam Blanckaert, Céline Coudrey, Capucine Daumas, Corentin Daumas, Marie-Céline Tuvache, Thomas Vindevogel;Roland Joffé;Ennio Morricone;Jeanne Labrune, Tom Stoppard;103;
Veggietales Classics!;1994;Tv Series;Animation, Adventure, Comedy, Family, Musical;5.9;8;United States;English;Lisa Vischer, Phil Vischer, Jerry Keller, Mike Nawrocki, Anthony Field, Dan Anderson, Greg Page, Chris Olsen, Murray Cook, G. Bock, Kristin Blegen, Mike Sage, Tom Danen, Robert Ellis, Clare Field, Bridget Miller, Shelby Morimoto, Jim Poole, Scott Ho, Jeff Morrow, Ron Smith, Kurt Heinecke, Tony Henry, Georgia Henry, Heidi Landis, Lesley Benodin, Ken Cavanagh, Scooby Page, Ginger Tam, Steve Burns, Ryan P. Kay, Samantha Blady, Ronald Keller, Tom D. Edwards, Ben Jimenez, Gordon Knapp, Sarah Mclachlan, Cyndi Lauper, Cory West, Wren T. Brown, Judy Warren, Andrew Rossum, Ashley Bank, George Delhoyo, Roger Reubens, Ed Stern, Luke Field, Mason Finn, Victoria Randis, Joe Kenney;Unknown;Unknown;Anthony Field, Jonathan Hensleigh, Jerry Keller;32;
Veggietales: Dave And The Giant Pickle;1996;Video Movie;Animation, Short, Comedy, Family, Musical;7.5;808;United States;English;Phil Vischer, Mike Nawrocki, Chris Olsen, Lisa Vischer;Phil Vischer, Mike Nawrocki;Kurt Heinecke, Phil Vischer;Phil Vischer, Mike Nawrocki;27;
Veggietales: Duke And The Great Pie War;2005;Video Movie;Animation, Family;6.7;263;United States;English;Phil Vischer, Mike Nawrocki, Cydney Trent, Jackie Ritz, Tim Hodge, Charlotte Volkman Jackson, Kurt Heinecke, Brian Roberts, Joe Spadaford, Joseph Sapulich;Tim Hodge;Kurt Heinecke;Jim Fisher, Robert G. Lee, Jim Staahl;45;
Veggietales: Madame Blueberry;1998;Video Movie;Animation, Short, Family, Musical;7.2;671;Canada, United States;English;Dan Anderson, Megan Moore Burns, Shelby Morimoto, Mike Nawrocki, Mike Sage, Lisa Vischer, Phil Vischer;Mike Nawrocki;Kurt Heinecke;Mike Nawrocki, Mike Nawrocki, Phil Vischer;37;
Veggietales: Minnesota Cuke And The Search For Samson'S Hairbrush;2005;Video Movie;Animation, Short, Family;7.1;367;United States;English;Phil Vischer, Mike Nawrocki, Lisa Vischer, Kristin Blegen, Brian Roberts, Dan Anderson, Cydney Trent, Tim Hodge, Joe Spadaford, Kurt Heinecke, Gretchen Heinecke, Rachael Pitts, Ally Nawrocki;Tim Hodge;Kurt Heinecke;Tim Hodge, Robert G. Lee;43;
Veggietales: The Ballad Of Little Joe;2003;Video Movie;Animation, Short, Adventure, Comedy, Family, Musical, Western;7.3;411;United States;English;Mike Nawrocki, Jim Poole, Jackie Ritz, Mike Sage, Lisa Vischer, Phil Vischer, Tim Hodge, Justin Barrett, Joshua Gunther, Shari Martin, Mike Sanderson;Tim Hodge, Mike Nawrocki;Kurt Heinecke;Robert G. Lee, Mike Nawrocki, Tim Hodge;32;
Veggietales: The Wonderful World Of Autotainment;2003;Video Movie;Animation, Short, Comedy, Family, Musical, Sci-Fi;6.2;173;United States;English;Mike Nawrocki, Phil Vischer, Ron Smith, Lisa Vischer;Mike Nawrocki, Christopher Hickman, Keith Lango;Unknown;Mike Nawrocki, Keith Lango, Joe Spadaford;30;
Vendetta: No Conscience, No Mercy;2004;Movie;Crime, Drama, Action;4.8;278;United States;English;Daniel Baldwin, John Novak, Wings Hauser, Walter Learning, Torri Higginson, John Ralston, Aidan Devine, Alberta Watson, Jack Betts, Dion Derizzo, Eugene Lipinski, Ronnie Marmo, Doug Sutherland, Veronica Carpenter, Manuel Urrego, Kevin Chapman, Curtis Armstrong, Ryan Scott Greene, Tim Aas, Cliff Turner, Mark A. Owen, Liam Britt, Daniel Britt, Isaac Visaretis, Eldon Thiele, David Attis, Robbie Oneill, Sean Burgess, Jeffrey Smith, Sebastian Maclean, Daniel Mccarthy, Stephen Morgan, Stephen Tobias, Wayne Doirion, Tim Fennell, Mark Lambert, Wally Mackinnon, Stephen Coats, Eva Steele, Gary Levert, Julian Valdes, Max Leblanc, Jamie Williams, Richard Roy, Rose Arsenault, Randy Hogan, Fred Mccarthy, Fred Fuller, Bernard Robichaud, Mathew Florcznski, Brendan Mchugh, Jordan Stephen, Alex Aievolli, Angelo Bua, James Callaghan, Joe Cofer, Ben Digregorio, Shawn Driscoll, Chuck Elgee, Bret Ernst, Lisa Flower, Dan Gutman, Dave Harley, James Hogan, Nicholas Hosking, Tom Mccafferty, Mark Mcpherson, David Michie, Alex Mitchell, Ojani Noa, Steve Owsley, Steven Owsley, Anthony Rosselli, Ofer Samra, Olivia Sarratt, Thomas Spencer, Jason Ogden;Daniel Mccarthy;Randy Miller;Daniel Mccarthy;112;
Vengeance On Varos: Part Two;1985;Episode;Adventure, Drama, Family, Sci-Fi;7.7;395;United Kingdom;English;Colin Baker, Nicola Bryant, Martin Jarvis, Nabil Shaban, Jason Connery, Forbes Collins, Stephen Yardley, Sheila Reid, Geraldine Alexander, Owen Teale, Graham Cull, Nicolas Chagrin, Hugh Martin, Gareth Milne;Ron Jones;Unknown;Philip Martin, Sydney Newman;45;
Vera Drake;2004;Movie;Crime, Drama;7.6;24793;United Kingdom, France;English;Imelda Staunton, Richard Graham, Eddie Marsan, Anna Keaveney, Alex Kelly, Daniel Mays, Phil Davis, Lesley Manville, Sally Hawkins, Simon Chandler, Sam Troughton, Marion Bailey, Sandra Voe, Chris Odowd, Adrian Scarborough, Heather Craney, Sinead Matthews, Sid Mitchell, Leo Bill, Gerard Monaco, Ruth Sheen, Tilly Vosburgh, Alan Williams, Heather Cameron-Mclintock, Billie Cook, Billy Seymour, Nina Fry, Lauren Holden, Elizabeth Berrington, Emma Amos, Fenella Woolgar, Joanna Griffiths, Wendy Nottingham, Nicky Henson, Allan Corduner, Angie Wallis, Judith Scott, Vinette Robinson, Rosie Cavaliero, Lesley Sharp, Liz White, Anthony Odonnell, Lucy Pleasence, Tracy Oflaherty, Peter Wight, Martin Savage, Helen Coker, Tom Ellis, Robert Putt, Craig Conway, Jake Wood, Vincent Franklin, Michael Gunn, Paul Jesson, Paul Raffield, Jim Broadbent, Philip Childs, Jeffry Wickham, Nicholas Jones, Stephan Dunbar, Angela Curran, Jane Wood, Eileen Davies, Sara Bowes, Hayley Angela Gilbert, Daniel Hatkoff, David House, David King, Arnold Montey, James Payton, Melody Reynolds, Georgie Smith, Sarah Strachan, John Warman;Mike Leigh;Andrew Dickson;Mike Leigh;125;
Vertigo;1958;Movie;Mystery, Romance, Thriller;8.3;381859;United States;English;James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones, Raymond Bailey, Ellen Corby, Konstantin Shayne, Lee Patrick, David Ahdar, Isabel Analla, Jack Ano, Margaret Bacon, John Benson, Danny Borzage, Margaret Brayton, Paul Bryar, Boyd Cabeen, Steve Conte, Jean Corbett, Bruno Della Santina, Roxann Delman, Harry Denny, Molly Dodd, Bess Flowers, Raoul Freeman, Joe Garcio, Joanne Genthon, Kenneth Gibson, Don Giovanni, Roland Gotti, Victor Gotti, Fred Graham, Robert Haines, Buck Harrington, Alfred Hitchcock, Jimmie Horan, Art Howard, Catherine Howard, June Jocelyn, Perk Lazelle, John Marlin, Miliza Milo, Lyle Moraine, Forbes Murray, Julian Petruzzi, Ezelle Poule, Kathy Reed, William Remick, Jack Richardson, Jeffrey Sayre, Nina Shipman, Dori Simmons, Ed Stevlingson, Sara Taft;Alfred Hitchcock;Bernard Herrmann;Alec Coppel, Samuel A. Taylor, Pierre Boileau;128;
